,mo_Rate,mo_range_low,mo_range_high,in_Rate
Alaska,173.1,164.2,174.4,406.6
Alabama,182.1,174.5,199.3,437.9
Arkansas,189.6,174.5,199.3,456.2
Arizona,146.4,127.9,155.3,379.8
California,146.6,127.9,155.3,399.6
Colorado,139.2,127.9,155.3,395.8
Connecticut,147.8,127.9,155.3,467
Delaware,167.1,164.2,174.4,488.1
Florida,154.9,127.9,155.3,410
Georgia,168.1,164.2,174.4,453.4
Hawaii,134.9,127.9,155.3,406
Iowa,168.2,164.2,174.4,471.9
Idaho,156.3,155.4,164.1,420.4
Illinois,171.7,164.2,174.4,460.4
Indiana,179.4,174.5,199.3,435.8
Kansas,162.9,155.4,164.1,449.1
Kentucky,199.3,174.5,199.3,513.7
Louisiana,188.7,174.5,199.3,478.7
Massachusetts,159.7,155.4,164.1,453.8
Maryland,163,155.4,164.1,439.5
Maine,174.8,174.5,199.3,474.6
Michigan,170.2,164.2,174.4,437.3
Minnesota,155.1,127.9,155.3,457.7
Missouri,179.1,174.5,199.3,447
Mississippi,196.5,174.5,199.3,462.1
Montana,154,127.9,155.3,431.2
North Carolina,167.7,164.2,174.4,448.8
North Dakota,150.8,127.9,155.3,431.4
Nebraska,160.7,155.4,164.1,443.6
New Hampshire,158.6,155.4,164.1,464.2
New Jersey,156,155.4,164.1,472.8
New Mexico,145.1,127.9,155.3,369.9
Nevada,164.9,164.2,174.4,374.9
New York,155.5,155.4,164.1,476.5
Ohio,177.4,174.5,199.3,452.1
Oklahoma,185.4,174.5,199.3,442
Oregon,163.2,155.4,164.1,409.6
Pennsylvania,170,164.2,174.4,477.3
Rhode Island,173.9,164.2,174.4,469.8
South Carolina,174,164.2,174.4,433.3
South Dakota,154.1,127.9,155.3,450.1
Tennessee,185.4,174.5,199.3,445.7
Texas,156.9,155.4,164.1,402.2
Utah,127.9,127.9,155.3,396
Virginia,162.3,155.4,164.1,416.5
Vermont,164.1,155.4,164.1,447.2
Washington,156.3,155.4,164.1,442.1
Wisconsin,164.6,164.2,174.4,459
West Virginia,190.5,174.5,199.3,461
Wyoming,147.7,127.9,155.3,399.6
