,Region
Alaska,West
Alabama,Southeast
Arkansas,Southeast
Arizona,Southwest
California,West
Colorado,West
Connecticut,Northeast
Delaware,Northeast
Florida,Southeast
Georgia,Southeast
Hawaii,West
Iowa,Midwest
Idaho,West
Illinois,Midwest
Indiana,Midwest
Kansas,Midwest
Kentucky,Southeast
Louisiana,Southeast
Massachusetts,Northeast
Maryland,Northeast
Maine,Northeast
Michigan,Midwest
Minnesota,Midwest
Missouri,Midwest
Mississippi,Southeast
Montana,West
North Carolina,Southeast
North Dakota,Midwest
Nebraska,Midwest
New Hampshire,Northeast
New Jersey,Northeast
New Mexico,Southwest
Nevada,West
New York,Northeast
Ohio,Midwest
Oklahoma,Southwest
Oregon,West
Pennsylvania,Northeast
Rhode Island,Northeast
South Carolina,Southeast
South Dakota,Midwest
Tennessee,Southeast
Texas,Southwest
Utah,West
Virginia,Southeast
Vermont,Northeast
Washington,West
Wisconsin,Midwest
West Virginia,Southeast
Wyoming,West
